Key,English,Filipino
CLIENT_HELP_INC_000000,Basic Operations,Mga Pangunahing Operasyon
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Dito ipinagpapatuloy ang bahagi kung saan natapos ang Info-Pang. Makikita rito ang mas malalim na paliwanag tungkol sa mechanics ng laro at ilang kakaibang feature.
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,Kung nabasa mo na lahat nito at may tanong ka pa; bumisita ka lang sa Opisyal na Website at Forum. Makikita ito sa $WEBSITE
CLIENT_HELP_INC_000003,Mouse,Mouse
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.",Laging magagamit ang mouse habang naglalaro. Ang kaliwang click ng mouse ginagamit para sa paggalaw; pag-target; at pagpili ng mga option sa menu. Ang kanang click naman ay para sa pagkontrol ng camera at para buksan ang NPC Menu kapag naka-target ang NPC. Makikita mo ang lahat ng ito sa Help Menu.
CLIENT_HELP_INC_000005,Movement,Paggalaw
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.",Para gumalaw gamit ang keyboard pindutin ang W para pasulong; A para pakaliwa; S para paatras; at D para pakanan. Pwede mo ring gamitin ang kaliwang click ng mouse para pumunta sa gustong lokasyon.
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.",Para tumalon pindutin ang Spacebar. Pwede kang tumalon habang nakatayo o habang gumagalaw.
CLIENT_HELP_INC_000008,Camera,Kamera
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.",Pwede mong kontrolin ang kamera sa iba't ibang paraan; at pwede mo ring i-lock ang kamera sa isang posisyon. Para gawin ito buksan ang Start Menu; piliin ang Options; at i-toggle ang Camera Fix. Papayagan ka nito na kontrolin ang kamera gamit ang mga key na A at D — papalitan nito ang movement controls. Kung hindi ka komportable sa setup na iyon pindutin at hawakan ang kanang button ng mouse at igalaw ang mouse.
