Key,English,Finnish
LANGUAGE_CODE,EN,FI
UI_HOME_TITLE,Home,Home
UI_HOME_GUESTCHAR,Guest Character,Vieraileva hahmo
UI_HOME_NEWCHAR,New Character,Uusi hahmo
UI_HOME_NEWCHAR_TIP,Create a new character without account.,Luo uusi hahmo ilman tiliä.
UI_HOME_LOGIN,Sign In,Kirjaudu sisään
UI_HOME_REGISTER,Sign Up,Sign Up
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Syötä käyttäjätunnus ja salasana ja paina OK muodostaaksesi yhteyden peliin."
UI_HOME_ALREADYACCOUNT,Already have an account?,Onko sinulla jo tili?
UI_HOME_WEBSITE,Website,Website
UI_HOME_CREDITS,Credits,Credits
UI_HOME_OR,Or,Or
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Salasana:
UI_HOME_RECOVER,Forgot password?,Unohtuiko salasana?
UI_SELECTSERVER_TITLE,Select Server,Valitse palvelin
UI_SELECTSERVER_BACK,Back,Takaisin
UI_SELECTSERVER_NEXT,Next,Seuraava
UI_SELECTSERVER_FULL,full,full
UI_SELECTSERVER_BUSY,busy,busy
UI_SELECTSERVER_BEST,best,best
UI_SELECTSERVER_NEWNAME,Please enter another name:,Anna toinen nimi:
UI_SELECTSERVER_NAMETITLE,Character Name,Hahmon nimi
UI_CHARLIST_TITLE,Characters,Hahmot
UI_CHARLIST_PLAY,Play,Pelaa
UI_CHARLIST_NEW,New,Uusi
UI_CHARLIST_DELETE,Delete,Poista
UI_DELETECHAR_TITLE,Delete Character,Poista Hahmo
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Password for deleting character\nEnter the password
UI_DELETECHAR_NOPASS,Do you confirm?,Vahvistatko?
UI_DELETECHAR_NOTICE,"If you delete a character, you cannot use its name during a week.","Jos poistat hahmon, et voi käyttää sen nimeä viikon ajan."
UI_NEWCHAR_NAME,Name:,Name:
UI_NEWCHAR_GIRL,Girl,Girl
UI_NEWCHAR_BOY,Boy,Boy
UI_MSGBOX_START,Start,Start
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Retry
UI_MSGBOX_CANCEL,Cancel,Cancel
UI_MSGBOX_YES,Yes,Yes
UI_MSGBOX_NO,No,No
UI_LOADINGSCREEN,"Loading, please wait...","Loading, please wait..."
UI_OPTION_TITLE,Options,Options
UI_OPTION_MUSIC,Music,Music
UI_OPTION_SOUND,Sound,Sound
UI_OPTION_TEXQUALITY,Textures,Textures
UI_OPTION_TEXTOON,Cartoon,Cartoon
UI_OPTION_TEXHIGH,High,High
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,Low
UI_OPTION_WEATHER,Weather,Weather
UI_OPTION_LANGUAGE,Language,Language
UI_OPTION_SAVE,Save,Save
UI_NAVIGATOR_PLAYER,Player,Player
UI_NAVIGATOR_PARTY,Party,Ryhmä
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Monster
UI_PRIVACY_NOTICE,Privacy Policy,Privacy Policy
UI_MSGBOX_ACCEPT,Accept,Accept
UI_MSGBOX_DECLINE,Decline,Decline
UI_MSGBOX_CLOSE,Close,Close
UI_OPTION_SHADOWS,Shadows,Shadows
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Maximum Distance
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Maximum Quality
UI_OPTION_FULLSCREEN,Fullscreen,Fullscreen
UI_MOTION_TAB_MOT,Motion,Motion
UI_MOTION_TAB_EMO,Emoticon,Emoticon
UI_REVIVAL_TITLE,Resurrection,Resurrection
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive to Lodestar,Revive to Lodestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive to Lodelight,Revive to Lodelight
