Key,English,French
PROPCTRL_TXT_000000,Small Treasure Chest,Petit Trésor
PROPCTRL_TXT_000002,Small Treasure Chest(Vertical),Petit Trésor (Vertical)
PROPCTRL_TXT_000004,FlDungeon Lever,Levier du donjon
PROPCTRL_TXT_000006,FlDungeon Gate,Porte du donjon
PROPCTRL_TXT_000008,Keakoon Prison,Prison Keakoon
PROPCTRL_TXT_000010,Chimeradon Prison,Prison Kimeradon
PROPCTRL_TXT_000012,Meteonyker Prison,Prison Meteonyker
PROPCTRL_TXT_000014,Pink Roach Egg,Œuf de Tyroglyphe Rose
PROPCTRL_TXT_000016,Blue Roach Egg,Œuf de Tyroglyphe Bleu
PROPCTRL_TXT_000028,Warp Machine,Téléporteur
PROPCTRL_TXT_000030,Warp Board 1,Point de téléportation-1
PROPCTRL_TXT_000032,Warp Board 2,Point de téléportation-2
PROPCTRL_TXT_000034,Warp Board 3,Point de téléportation-3
PROPCTRL_TXT_000036,Exp Box,Coffre d'expérience
PROPCTRL_TXT_000037,Harvest Plant 01,Plante Récoltable 01
PROPCTRL_TXT_000038,Harvest Plant 02,Plante Récoltable 02
PROPCTRL_TXT_000039,Harvest Plant 03,Plante Récoltable 03
PROPCTRL_TXT_000040,Harvest Plant 04,Plante Récoltable 04
PROPCTRL_TXT_000041,Children in cage,Enfant en Cage
PROPCTRL_TXT_000042,Pet Cage 01,Cage à Familiers 01
PROPCTRL_TXT_000043,Pet Cage 02,Cage à Familiers 02
PROPCTRL_TXT_000044,Pet Cage 03,Cage à Familiers 03
PROPCTRL_TXT_000045,Pet Cage 04,Cage à Familiers 04
PROPCTRL_TXT_000046,Pet Cage 05,Cage à Familiers 05
PROPCTRL_TXT_000047,Pet Cage 06,Cage à Familiers 06
PROPCTRL_TXT_000048,Pet Cage 07,Cage à Familiers 07
PROPCTRL_TXT_000049,Dungeon Warp 01,Téléporteur de Donjon 01
PROPCTRL_TXT_000050,Dungeon Warp 02,Téléporteur de Donjon 02
PROPCTRL_TXT_000051,Dungeon Warp 03,Téléporteur de Donjon 03
PROPCTRL_TXT_000052,Dungeon Warp 04,Téléporteur de Donjon 04
PROPCTRL_TXT_000053,Straight Palm Tree,Palmier Droit
PROPCTRL_TXT_000054,Leaning Palm Tree,Palmier Incliné
PROPCTRL_TXT_000055,Branch Coral,Branche de Corail
PROPCTRL_TXT_000056,Round Red Coral,Corail Rouge Rond
PROPCTRL_TXT_000057,Leren Chasm Chest,Coffre du Gouffre de Leren
PROPCTRL_TXT_000058,Rhisis Catacombs Chest,Coffre des Catacombes de Rhisis
PROPCTRL_TXT_000059,Envy Depths Chest,Coffre de l'Abîme de l'Envie
PROPCTRL_TXT_000060,Guardiane Sanctuary Chest,Coffre du Sanctuaire de Gardiane
PROPCTRL_TXT_000061,Storm Peak Chest,Coffre du Pic de Tempête
PROPCTRL_TXT_000062,The Wilds Chest,Coffre de Désiréa
PROPCTRL_TXT_000063,Dungeon Warp 05,Téléporteur de Donjon 05
PROPCTRL_TXT_000064,Dungeon Warp 06,Téléporteur de Donjon 06
PROPCTRL_TXT_000065,Ship Wheel,Barre du Navire
PROPCTRL_TXT_000066,Cushion Chair,Chaise Confortable
PROPCTRL_TXT_000067,Spinning Globe,Globe
PROPCTRL_TXT_000068,Compass,Boussole
PROPCTRL_TXT_000069,Chandelier,Chandelier
PROPCTRL_TXT_000070,Command Desk,Bureau de Commandement
PROPCTRL_TXT_000071,Command Platform,Plate-Forme de Commandement
PROPCTRL_TXT_000072,Small Table,Petite Table
PROPCTRL_TXT_000073,Drawer,Commode
PROPCTRL_TXT_000074,Twin Bed,Lit double
PROPCTRL_TXT_000075,Incident Painting,Peinture de l'Incident
PROPCTRL_TXT_000076,Home Painting,Peinture du Foyer
PROPCTRL_TXT_000077,Metaverse Ball,Balle du Metaverse
PROPCTRL_TXT_000078,Metaverse Bath Rug,Tapis de Bain du Metaverse
PROPCTRL_TXT_000079,Metaverse Twin Bed,Lit double du Metaverse
PROPCTRL_TXT_000080,Metaverse King Bed,Lit Spacieux du Metaverse
PROPCTRL_TXT_000081,Metaverse Single Bed,Lit Simple du Metaverse
PROPCTRL_TXT_000082,Metaverse Beer Cup,Chope de Bière du Metaverse
