Key,English,French
CLIENT_TREEHELP_INC_000003,Basic Operations,Manuel du jeu
CLIENT_TREEHELP_INC_000008,How do I fly?,Comment voler ?
CLIENT_TREEHELP_INC_000009,Aerial Combat,Combat en vol
CLIENT_TREEHELP_INC_000013,Magic Attack,Attaques chargées
CLIENT_TREEHELP_INC_000045,Task bar,Barre des tâches
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,Inviter des joueurs dans un groupe
CLIENT_TREEHELP_INC_000073,Call,Appel
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,Guilde
CLIENT_TREEHELP_INC_000093,Vagrant,Vagrant
CLIENT_TREEHELP_INC_000097,First Job Transfer,Evolution de classe
CLIENT_TREEHELP_INC_000103,Bloody Strike,Soif de sang
CLIENT_TREEHELP_INC_000108,Sneaker,Piège
CLIENT_TREEHELP_INC_000109,Empower Weapon,Arme enchantée
CLIENT_TREEHELP_INC_000119,Slow Step,Rapidité
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,Visée sournoise
CLIENT_TREEHELP_INC_000121,Snatch,Anesthésie
CLIENT_TREEHELP_INC_000124,Counterattack,Pluie de flèches
CLIENT_TREEHELP_INC_000128,Auto Shot,Représailles
CLIENT_TREEHELP_INC_000129,Aimed Shot,Hémorragie
CLIENT_TREEHELP_INC_000139,Cat's Reflex,Félinité
CLIENT_TREEHELP_INC_000140,Cannon Ball,Boulet de canon
CLIENT_TREEHELP_INC_000166,Blinkpool,Enracinement
CLIENT_TREEHELP_INC_000167,Second Job Transfer,Evolution de classe
CLIENT_TREEHELP_INC_000172,Power Stomp,Doloire féroce
CLIENT_TREEHELP_INC_000187,Critical Swing,Détermination
CLIENT_TREEHELP_INC_000194,Vital stab,Exécution
CLIENT_TREEHELP_INC_000195,Ranger,Ranger
CLIENT_TREEHELP_INC_000204,RingMaster,Prêtre
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,Jugement divin
CLIENT_TREEHELP_INC_000222,Elementor,Elémentaliste
CLIENT_TREEHELP_INC_000241,Blizzard,Avalanche
CLIENT_TREEHELP_INC_000255,Flying level,Niveau de vol
CLIENT_TREEHELP_INC_000256,Flying experience,EXP de vol
CLIENT_TREEHELP_INC_000257,Travel experience point,EXP de voyage
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP (expérience commune)
CLIENT_TREEHELP_INC_000267,GP (growth point),GP (points de statut)
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,Transformation en arme ultime
CLIENT_TREEHELP_INC_000289,Mineral,Minerai
CLIENT_TREEHELP_INC_000290,Erons,Erons
CLIENT_TREEHELP_INC_000291,Krasec,Krasec
CLIENT_TREEHELP_INC_000292,Guru,Guru
CLIENT_TREEHELP_INC_000293,Collector,Collecteur
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,Attaque PK
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,Points de Karma et de Pénalités
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,Classement des joueurs selon leur Karma
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,Zone de PK et point de régénération du Karma
CLIENT_TREEHELP_INC_000303,Regional setting,Configuration régionale
CLIENT_TREEHELP_INC_000304,Safety Zone,Zone protégée
CLIENT_TREEHELP_INC_000305,Penalty PK zone,Zone de pénalité de PK
CLIENT_TREEHELP_INC_000306,Free PK zone,Zone PK libre
CLIENT_TREEHELP_INC_000307,Classfying Server,Serveur classé
CLIENT_TREEHELP_INC_000308,Normal Server,Serveur normal
CLIENT_TREEHELP_INC_000309,PVP server,Serveur PK
CLIENT_TREEHELP_INC_000313,Weapon store,Magasin d'armes
CLIENT_TREEHELP_INC_000318,Public office,Bureau d'administration
CLIENT_TREEHELP_INC_000320,Beauty Shop,Institut de beauté
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Veuillez sélectionner une sous-catégorie pour afficher les informations disponibles.
