Key,English,Indonesian
CLIENT_HELP_INC_000000,Basic Operations,Basic Operations
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Bagian ini akan berlanjut jika Info-Pang berhenti. Kamu dapat mengharapkan penjelasan yang lebih mendalam tentang mekanisme permainan dan beberapa fitur unik.
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,"Jika kamu membaca bagian ini dan masih memiliki pertanyaan, kamu harus mengunjungi Official Website dan Forum. Ini dapat ditemukan di $WEBSITE$"
CLIENT_HELP_INC_000003,Mouse,Mouse
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.","Mousemu akan digunakan terus-menerus selama bermain game. Klik kiri mouse akan paling sering digunakan untuk movement, targeting, dan memilih opsi menu. Klik kanan akan digunakan terutama untuk mengontrol kamera dan mengakses Menu NPC saat NPC menjadi sasaran. Semua fitur ini akan dibahas dalam Help Menu."
CLIENT_HELP_INC_000005,Movement,Movement
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","Untuk bergerak menggunakan keyboard, tekan Tombol “W” untuk maju, Tombol “A” untuk ke kiri, Tombol “S” untuk mundur, dan Tombol “D” untuk ke kanan. Kamu juga dapat Klik Kiri Mouse untuk bergerak."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.","Untuk melompat, cukup tekan spasi. Kamu dapat melompat baik dari posisi berdiri atau sambil bergerak."
CLIENT_HELP_INC_000008,Camera,Camera
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.","Kamu dapat mengontrol tampilan kamera dengan berbagai cara. Kamu bahkan dapat mengunci kamera pada tempatnya. Untuk melakukan ini, akses Start Menu, pilih Option dan kemudian aktifkan Camera Fix. Ini akan memungkinkanmu untuk mengontrol Kamera dengan tombol A dan D. Jika pengaturan ini tidak terasa nyaman bagimu, cukup menahan Tombol Kanan Mouse dan menggerakkan mouse."
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.","Terlepas dari caramu memilih pergerakan kamera, fungsi zoom akan selalu sama. Kamu dapat Memperbesar dan memperkecil dengan roda mouse atau tombol Page Up dan Page Down. Untuk memperbesar lebih jauh, tekan Tombol Scroll Lock."
CLIENT_HELP_INC_000011,Flying,Flying
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,Karakter yang telah mencapai level 20 dan telah menyelesaikan flying quest dapat memanfaatkan terbang dengan broom dan boards.
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,"Pos NPC menjual berbagai Brooms dan Boards. Jika kamu merasa ingin meningkatkan metode terbangmu, kamu dapat memeriksa toko premium untuk item yang lebih cepat dan lebih unik untuk diterbangkan."
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,Bagaimana cara aku terbang?
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.","Untuk terbang, cukup lengkapi flying board atau broom lalu tekan Spacebar. Kamu akan dipercepat secara otomatis hingga mencapai kecepatan maksimum. Untuk berhenti, tekan Spacebar lagi."
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.","Kamu dapat mengemudi saat terbang dengan mouse atau dengan tombol W, A, S, D."
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,Kamu dapat membeli bahan bakar untuk meningkatkan kecepatan broom atau boardmu. Klik dua kali bahan bakar dan tekan tombol X untuk mengaktifkan atau menonaktifkan bahan bakar.
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,Combat
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.","Kamu akan menemukan ratusan topeng musuh di tanah Madrigal. Tergantung pada jenis karakter yang kamu bangun, kamu akan memiliki banyak opsi tentang cara menyerang monster jahat ini. Metode-metode ini akan dijelaskan lebih rinci di sini."
