Key,English,Indonesian
STATBOARD_TXT_000000,1. General,1. General
STATBOARD_TXT_000001,2. Time,2. Waktu
STATBOARD_TXT_000002,3. Class,3. Kelas
STATBOARD_TXT_000003,Total Damage,Total Damage
STATBOARD_TXT_000004,Skill Damage,Skill Damage
STATBOARD_TXT_000005,Damage Taken,Damage Taken
STATBOARD_TXT_000006,Healing Done,Healing Done
STATBOARD_TXT_000007,Total Kills,Total Kills
STATBOARD_TXT_000008,Total Deaths,Total Deaths
STATBOARD_TXT_000009,Damage Per Death,Damage Per Death
STATBOARD_TXT_000010,Tanking Per Death,Tanking Per Death
STATBOARD_TXT_000011,Healing Per Death,Healing Per Death
STATBOARD_TXT_000012,Kills Per Death,Kills Per Death
STATBOARD_TXT_000013,Damage Per Min,Damage Per Min
STATBOARD_TXT_000014,Tanking Per Min,Tanking Per Min
STATBOARD_TXT_000015,Healing Per Min,Healing Per Min
STATBOARD_TXT_000016,Deaths Per Min,Deaths Per Min
STATBOARD_TXT_000017,Time Spent CC'd,Waktu yang terpakai CC'd
STATBOARD_TXT_000018,CC's applied,CC's terpakai
STATBOARD_TXT_000019,Damage Amped,Damage Amped
STATBOARD_TXT_000020,Damage Mitigated,Damage Mitigated
STATBOARD_TXT_000021,Damage Reflected,Damage Reflected
STATBOARD_TXT_000022,,
STATBOARD_TXT_000023,,
STATBOARD_TXT_000024,,
STATBOARD_TXT_000025,,
STATBOARD_TXT_000026,,
STATBOARD_TOOLTIP_000000,Total seconds a player was crowd-controlled.,Total detik player terkena crowd-controlled.
STATBOARD_TOOLTIP_000001,Total seconds a player applied crowd-control effect on other players.,Total detik player melakukan efek crowd-controt kepada player lain.
STATBOARD_TOOLTIP_000002,"Total damage a player amplified through effects like Holycross, Swordcross, etc.","Total damage player diperkuat oleh efek seperti Holycross, Swordcross, dll."
STATBOARD_TOOLTIP_000003,"Total damage a player mitigated through effects like Damage Redirection, etc.","Total damage yang dimitigasi melalui efek seperti Damage Redirection, dll."
