Key,English,Indonesian
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Station
ETC_INC_000020,Weapon,Senjata
ETC_INC_000021,Armor,Armor
ETC_INC_000022,Food,Makanan
ETC_INC_000023,Magic,Magic
ETC_INC_000024,General,General
ETC_INC_000025,Public Office,Kantor Publik
ETC_INC_000026,Quest Office,Kantor Quest
ETC_INC_000027,Shield,Perisai
ETC_INC_000028,Warpzone,Warpzone
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Instance
