Key,English,Japanese
CLIENT_HELP_INC_000000,Basic Operations,基本操作
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Flyff Universeを楽しむために必要な、基本的な操作方法である、移動、飛行、戦闘、アイテム装備、アイテム拾い・捨てる、チャット、ＮＰＣとの取引、ユーザとのトレードなどの基本的操作法について説明します。
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,更に詳しい情報は、公式ウェブサイトとフォーラムをご参照ください。。ウェブサイトは $WEBSITE$ でご覧になれます。
CLIENT_HELP_INC_000003,Mouse,マウスカーソル
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.",休憩をするには、モーションウィンドウ(短縮キーO)を開き、座りアイコンをマウス左ボタンでクリックして下さい。(この際、座りアイコンを短縮キーウィンドウに登録しておくと便利です)立ちあがるには、再びアイコンをクリックするかモンスターを攻撃してください。
CLIENT_HELP_INC_000005,Movement,移動
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.",キーボードを使用して移動するには、「W」キーを押して前進し、「A」キーを押して左に、「S」キーを押して後方に移動し、「D」キーを押して右に移動します。マウスの左クリックを使用して移動することもできます。
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.",ジャンプするにはスペースバーを押します。ジャンプは立ったままでも、移動しながらでも可能です。
CLIENT_HELP_INC_000008,Camera,カメラ
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.",右クリックしたままマウスを動かすことでカメラ（視点）の変更が可能です。キーボードの方向キーでも操作可能です。画面の拡大・縮小はマウスのホイールボタンを回転させてください。（旧バージョンの設定：マウスホイールボタンを押したままマウスを動かせばカメラを回転させることができます）
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.",カメラの回転はキーボードの方向キーでも操作可能です。
CLIENT_HELP_INC_000011,Flying,飛行
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,飛行アイテム（ホウキやボード）に乗った状態でスペースキーを押すと加速しながら前進を始め、もう一度スペースキーを押すと減速しながら止まります。
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,飛行中にマウス右ボタンをクリックしたままマウスを動かすと、マウスを動かした方向に動きます。
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,飛行アイテム
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.",飛ぶには、飛行用ボードやほうきを装備して、スペースバーを押すことで、自動的に加速し、最高速度に達します。停止するには、スペースバーをもう一度押してください。
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.",飛行アイテムには、レベル２０以上のキャラクターのみが乗ることができます。
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,飛行アイテムは、ステーションのNPCから購入することができます。
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,戦闘
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.",戦闘時に必要な基本的な内容と一般攻撃を意味するパターンアタックの種類について追加説明します。まず、対象を左クリックしてターゲットに設定します。
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.",ターゲットに設定した相手を左クリックすることで1番目のパターンに該当する攻撃をします。この時、相手をダブルクリックするかCtrlキーを押しながらクリックすることで連続(パターン)攻撃を行います。
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,直接パターン攻撃
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.",近接攻撃は、剣、斧、スタッフ、ナックルなどのような直接打撃を与える武器を使用した攻撃で、相手の生命力(HP)にダメージを与えます。
CLIENT_HELP_INC_000034,Ranged Attack,遠距離攻撃
