Key,English,Japanese
CLIENT_TREEHELP_INC_000003,Basic Operations,基本操作
CLIENT_TREEHELP_INC_000008,How do I fly?,飛行アイテム
CLIENT_TREEHELP_INC_000009,Aerial Combat,飛行戦闘
CLIENT_TREEHELP_INC_000013,Magic Attack,魔法パターン攻撃
CLIENT_TREEHELP_INC_000045,Task bar,タスクバー
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,パーティーに招待
CLIENT_TREEHELP_INC_000073,Call,コール
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,ギルド
CLIENT_TREEHELP_INC_000093,Vagrant,放浪者
CLIENT_TREEHELP_INC_000097,First Job Transfer,1次転職
CLIENT_TREEHELP_INC_000103,Bloody Strike,リフレックスヒット
CLIENT_TREEHELP_INC_000108,Sneaker,スネーカー
CLIENT_TREEHELP_INC_000109,Empower Weapon,パワーウェポン
CLIENT_TREEHELP_INC_000119,Slow Step,ﾌｧ-ｽﾄｳｫｰｶｰ
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,ヨーヨーマスタリー
CLIENT_TREEHELP_INC_000121,Snatch,ｽﾛｰｽﾃｯﾌﾟ
CLIENT_TREEHELP_INC_000124,Counterattack,ｱﾛｰﾚｲﾝ
CLIENT_TREEHELP_INC_000128,Auto Shot,ｶｳﾝﾀｰｱﾀｯｸ
CLIENT_TREEHELP_INC_000129,Aimed Shot,エイムドショット
CLIENT_TREEHELP_INC_000139,Cat's Reflex,キャッツリフレックス
CLIENT_TREEHELP_INC_000140,Cannon Ball,キャノンボール
CLIENT_TREEHELP_INC_000166,Blinkpool,ルーティング
CLIENT_TREEHELP_INC_000167,Second Job Transfer,2次転職
CLIENT_TREEHELP_INC_000172,Power Stomp,アックスボム
CLIENT_TREEHELP_INC_000187,Critical Swing,クリティカルスウィング
CLIENT_TREEHELP_INC_000194,Vital stab,ｳﾞｧｲﾀﾙｽﾀｯﾌﾞ
CLIENT_TREEHELP_INC_000195,Ranger,レンジャー
CLIENT_TREEHELP_INC_000204,RingMaster,リングマスター
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,グブルティアボルド
CLIENT_TREEHELP_INC_000222,Elementor,エレメンター
CLIENT_TREEHELP_INC_000241,Blizzard,ブリザード
CLIENT_TREEHELP_INC_000255,Flying level,飛行レベル
CLIENT_TREEHELP_INC_000256,Flying experience,飛行経験値
CLIENT_TREEHELP_INC_000257,Travel experience point,旅行経験値
CLIENT_TREEHELP_INC_000266,PXP (common experience),ＰＸＰ（供用経験値）
CLIENT_TREEHELP_INC_000267,GP (growth point),ＧＰ（成長ポイント）
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,ｱﾙﾃｨﾏｳｪﾎﾟﾝのｶｽﾀﾏｲｽﾞ
CLIENT_TREEHELP_INC_000289,Mineral,ミネラル
CLIENT_TREEHELP_INC_000290,Erons,エランス
CLIENT_TREEHELP_INC_000291,Krasec,ケラセック
CLIENT_TREEHELP_INC_000292,Guru,グルー
CLIENT_TREEHELP_INC_000293,Collector,リファレクター
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,PK攻撃
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,カルマポイントとペナルティー
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,カルマポイントのよるユーザのタイプ
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,PKユーザフィールドとカルマポイントの回復
CLIENT_TREEHELP_INC_000303,Regional setting,地域設定
CLIENT_TREEHELP_INC_000304,Safety Zone,セーフティーゾーン
CLIENT_TREEHELP_INC_000305,Penalty PK zone,ペナルティー PKゾーン
CLIENT_TREEHELP_INC_000306,Free PK zone,フリーPKゾーン
CLIENT_TREEHELP_INC_000307,Classfying Server,サーバー分類
CLIENT_TREEHELP_INC_000308,Normal Server,一般サーバー
CLIENT_TREEHELP_INC_000309,PVP server,PvPサーバー
CLIENT_TREEHELP_INC_000313,Weapon store,ウェポンショップ
CLIENT_TREEHELP_INC_000318,Public office,シティホール
CLIENT_TREEHELP_INC_000320,Beauty Shop,ビューティーショップ
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Please select a subcategory to view available information.
