Key,English,Russian
CLIENT_TREEHELP_INC_000003,Basic Operations,Основные возможности игры
CLIENT_TREEHELP_INC_000008,How do I fly?,Как научиться летать?
CLIENT_TREEHELP_INC_000009,Aerial Combat,Сражения в полете
CLIENT_TREEHELP_INC_000013,Magic Attack,Магические атаки дальнего боя
CLIENT_TREEHELP_INC_000045,Task bar,Панель быстрого доступа
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,Приглашение в профессиональную труппу
CLIENT_TREEHELP_INC_000073,Call,Зов
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,Гильдия
CLIENT_TREEHELP_INC_000093,Vagrant,Бродяга
CLIENT_TREEHELP_INC_000097,First Job Transfer,Первое амплуа
CLIENT_TREEHELP_INC_000103,Bloody Strike,Кровавая кража
CLIENT_TREEHELP_INC_000108,Sneaker,Сеть
CLIENT_TREEHELP_INC_000109,Empower Weapon,Оружие стихий
CLIENT_TREEHELP_INC_000119,Slow Step,Бегун
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,Прицельный выстрел
CLIENT_TREEHELP_INC_000121,Snatch,Замедление
CLIENT_TREEHELP_INC_000124,Counterattack,Ливень стрел
CLIENT_TREEHELP_INC_000128,Auto Shot,Контратака
CLIENT_TREEHELP_INC_000129,Aimed Shot,Смертоносная нить
CLIENT_TREEHELP_INC_000139,Cat's Reflex,Кошачьи рефлексы
CLIENT_TREEHELP_INC_000140,Cannon Ball,Пушечное ядро
CLIENT_TREEHELP_INC_000166,Blinkpool,Корни
CLIENT_TREEHELP_INC_000167,Second Job Transfer,Второе амплуа
CLIENT_TREEHELP_INC_000172,Power Stomp,Ошеломляющий удар
CLIENT_TREEHELP_INC_000187,Critical Swing,Критические удары
CLIENT_TREEHELP_INC_000194,Vital stab,Удар в слабое место
CLIENT_TREEHELP_INC_000195,Ranger,Ranger
CLIENT_TREEHELP_INC_000204,RingMaster,Иллюзионист
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,Пожиратель
CLIENT_TREEHELP_INC_000222,Elementor,Факир
CLIENT_TREEHELP_INC_000241,Blizzard,Blizzard
CLIENT_TREEHELP_INC_000255,Flying level,Полеты
CLIENT_TREEHELP_INC_000256,Flying experience,Опыт полета
CLIENT_TREEHELP_INC_000257,Travel experience point,Очки полета
CLIENT_TREEHELP_INC_000266,PXP (common experience),Общий опыт
CLIENT_TREEHELP_INC_000267,GP (growth point),Очки характеристик
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,Абсолютное оружие
CLIENT_TREEHELP_INC_000289,Mineral,Металлы
CLIENT_TREEHELP_INC_000290,Erons,Эроний
CLIENT_TREEHELP_INC_000291,Krasec,Кразий
CLIENT_TREEHELP_INC_000292,Guru,Гуроний
CLIENT_TREEHELP_INC_000293,Collector,Мусор-о-матик
CLIENT_TREEHELP_INC_000298,PK,ПК
CLIENT_TREEHELP_INC_000299,PK attack,Убийства
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,Карма и штрафы
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,Классификация по карме
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,Восстановление кармы
CLIENT_TREEHELP_INC_000303,Regional setting,Региональные настройки
CLIENT_TREEHELP_INC_000304,Safety Zone,Безопасная зона
CLIENT_TREEHELP_INC_000305,Penalty PK zone,Зона штрафов ПК
CLIENT_TREEHELP_INC_000306,Free PK zone,Зона свободного ПК
CLIENT_TREEHELP_INC_000307,Classfying Server,Классификация серверов
CLIENT_TREEHELP_INC_000308,Normal Server,Обычный сервер
CLIENT_TREEHELP_INC_000309,PVP server,PVP-сервер
CLIENT_TREEHELP_INC_000313,Weapon store,Оружейная лавка
CLIENT_TREEHELP_INC_000318,Public office,Банк
CLIENT_TREEHELP_INC_000320,Beauty Shop,Салон красоты
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Please select a subcategory to view available information.
