Key,English,Simplified_Chinese
PROPCTRL_TXT_000000,Small Treasure Chest,小宝物箱子
PROPCTRL_TXT_000002,Small Treasure Chest(Vertical),小百宝箱 (纵向)
PROPCTRL_TXT_000004,FlDungeon Lever,控制杆
PROPCTRL_TXT_000006,FlDungeon Gate,副本出入口
PROPCTRL_TXT_000008,Keakoon Prison,奇昆监狱
PROPCTRL_TXT_000010,Chimeradon Prison,变种蝙蝠兽监狱
PROPCTRL_TXT_000012,Meteonyker Prison,地炎飞龙监狱
PROPCTRL_TXT_000014,Pink Roach Egg,粉毒花虫的蛋
PROPCTRL_TXT_000016,Blue Roach Egg,蓝毒花虫的蛋
PROPCTRL_TXT_000028,Warp Machine,传送器
PROPCTRL_TXT_000030,Warp Board 1,传送滑板
PROPCTRL_TXT_000032,Warp Board 2,传送滑板
PROPCTRL_TXT_000034,Warp Board 3,传送滑板
PROPCTRL_TXT_000036,Exp Box,经验盒子
PROPCTRL_TXT_000037,Harvest Plant 01,采集植物 01
PROPCTRL_TXT_000038,Harvest Plant 02,采集植物 02
PROPCTRL_TXT_000039,Harvest Plant 03,采集植物 03
PROPCTRL_TXT_000040,Harvest Plant 04,采集植物 04
PROPCTRL_TXT_000041,Children in cage,被困住的孩子
PROPCTRL_TXT_000042,Pet Cage 01,宠物笼 01
PROPCTRL_TXT_000043,Pet Cage 02,宠物笼 02
PROPCTRL_TXT_000044,Pet Cage 03,宠物笼 03
PROPCTRL_TXT_000045,Pet Cage 04,宠物笼 04
PROPCTRL_TXT_000046,Pet Cage 05,宠物笼 05
PROPCTRL_TXT_000047,Pet Cage 06,宠物笼 06
PROPCTRL_TXT_000048,Pet Cage 07,宠物笼 07
PROPCTRL_TXT_000049,Dungeon Warp 01,Dungeon Warp 01
PROPCTRL_TXT_000050,Dungeon Warp 02,Dungeon Warp 02
PROPCTRL_TXT_000051,Dungeon Warp 03,Dungeon Warp 03
PROPCTRL_TXT_000052,Dungeon Warp 04,Dungeon Warp 04
PROPCTRL_TXT_000053,Straight Palm Tree,Straight Palm Tree
PROPCTRL_TXT_000054,Leaning Palm Tree,Leaning Palm Tree
PROPCTRL_TXT_000055,Branch Coral,Branch Coral
PROPCTRL_TXT_000056,Round Red Coral,Round Red Coral
PROPCTRL_TXT_000057,Leren Chasm Chest,乐雅裂痕宝箱
PROPCTRL_TXT_000058,Rhisis Catacombs Chest,莱斯神之墓宝箱
PROPCTRL_TXT_000059,Envy Depths Chest,渴望深渊宝箱
PROPCTRL_TXT_000060,Guardiane Sanctuary Chest,堕落圣域宝箱
PROPCTRL_TXT_000061,Storm Peak Chest,风暴之巅宝箱
PROPCTRL_TXT_000062,The Wilds Chest,荒野宝箱
PROPCTRL_TXT_000063,Dungeon Warp 05,Dungeon Warp 05
PROPCTRL_TXT_000064,Dungeon Warp 06,Dungeon Warp 06
PROPCTRL_TXT_000065,Ship Wheel,Ship Wheel
PROPCTRL_TXT_000066,Cushion Chair,Cushion Chair
PROPCTRL_TXT_000067,Spinning Globe,Spinning Globe
PROPCTRL_TXT_000068,Compass,Compass
PROPCTRL_TXT_000069,Chandelier,Chandelier
PROPCTRL_TXT_000070,Command Desk,Command Desk
PROPCTRL_TXT_000071,Command Platform,Command Platform
PROPCTRL_TXT_000072,Small Table,Small Table
PROPCTRL_TXT_000073,Drawer,Drawer
PROPCTRL_TXT_000074,Twin Bed,Twin Bed
PROPCTRL_TXT_000075,Incident Painting,Incident Painting
PROPCTRL_TXT_000076,Home Painting,Home Painting
PROPCTRL_TXT_000077,Metaverse Ball,Metaverse Ball
PROPCTRL_TXT_000078,Metaverse Bath Rug,Metaverse Bath Rug
PROPCTRL_TXT_000079,Metaverse Twin Bed,Metaverse Twin Bed
PROPCTRL_TXT_000080,Metaverse King Bed,Metaverse King Bed
PROPCTRL_TXT_000081,Metaverse Single Bed,Metaverse Single Bed
PROPCTRL_TXT_000082,Metaverse Beer Cup,Metaverse Beer Cup
PROPCTRL_TXT_000083,Metaverse Bench,Metaverse Bench
PROPCTRL_TXT_000084,Metaverse Candle,Metaverse Candle
PROPCTRL_TXT_000085,Metaverse Cat Supplies,Metaverse Cat Supplies
PROPCTRL_TXT_000086,Metaverse Chair,Metaverse Chair
PROPCTRL_TXT_000087,Metaverse Basic Desk,Metaverse Basic Desk
PROPCTRL_TXT_000088,Metaverse Wooden Desk,Metaverse Wooden Desk
PROPCTRL_TXT_000089,Metaverse Boss Desk,Metaverse Boss Desk
PROPCTRL_TXT_000090,Metaverse Student Desk,Metaverse Student Desk
