Key,English,Simplified_Chinese
CLIENT_TREEHELP_INC_000003,Basic Operations,基本操作\n感谢开服汉化组成员:(如果ID被抢注会在下次更新后更正)\n胡图的图\nNO.777\nINT80\nAARONVV\nEureka\nAlive\n南丁格尔\n小牛猫\n林克\n可乐松松\n晨梦初醒\n花前月下\n七的意志\n
CLIENT_TREEHELP_INC_000008,How do I fly?,我怎样才可以飞行？
CLIENT_TREEHELP_INC_000009,Aerial Combat,艾瑞尔战役
CLIENT_TREEHELP_INC_000013,Magic Attack,魔法攻击
CLIENT_TREEHELP_INC_000045,Task bar,任务栏
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,邀请他人加入剧团
CLIENT_TREEHELP_INC_000073,Call,演员集合
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,公会信息
CLIENT_TREEHELP_INC_000093,Vagrant,初心者
CLIENT_TREEHELP_INC_000097,First Job Transfer,一转
CLIENT_TREEHELP_INC_000103,Bloody Strike,血之光辉
CLIENT_TREEHELP_INC_000108,Sneaker,纠缠天网
CLIENT_TREEHELP_INC_000109,Empower Weapon,战神附体
CLIENT_TREEHELP_INC_000119,Slow Step,迟缓术
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,轮术领悟
CLIENT_TREEHELP_INC_000121,Snatch,偷袭
CLIENT_TREEHELP_INC_000124,Counterattack,破招
CLIENT_TREEHELP_INC_000128,Auto Shot,自动射击
CLIENT_TREEHELP_INC_000129,Aimed Shot,精准射击
CLIENT_TREEHELP_INC_000139,Cat's Reflex,躲避术
CLIENT_TREEHELP_INC_000140,Cannon Ball,敏捷术
CLIENT_TREEHELP_INC_000166,Blinkpool,空间转换
CLIENT_TREEHELP_INC_000167,Second Job Transfer,二转
CLIENT_TREEHELP_INC_000172,Power Stomp,大地共鸣
CLIENT_TREEHELP_INC_000187,Critical Swing,斗志风轮
CLIENT_TREEHELP_INC_000194,Vital stab,暗杀
CLIENT_TREEHELP_INC_000195,Ranger,游侠
CLIENT_TREEHELP_INC_000204,RingMaster,守护使者
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,斗气风暴
CLIENT_TREEHELP_INC_000222,Elementor,元素使者
CLIENT_TREEHELP_INC_000241,Blizzard,暴风雪
CLIENT_TREEHELP_INC_000255,Flying level,飞行等级
CLIENT_TREEHELP_INC_000256,Flying experience,飞行经验
CLIENT_TREEHELP_INC_000257,Travel experience point,旅行经验点
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP(公共经验)
CLIENT_TREEHELP_INC_000267,GP (growth point),GP (成长点)
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,终极武器精炼
CLIENT_TREEHELP_INC_000289,Mineral,奇异金属
CLIENT_TREEHELP_INC_000290,Erons,绿磷石矿
CLIENT_TREEHELP_INC_000291,Krasec,炽红石花
CLIENT_TREEHELP_INC_000292,Guru,石电磁矿
CLIENT_TREEHELP_INC_000293,Collector,采集器
CLIENT_TREEHELP_INC_000298,PK,PK  值
CLIENT_TREEHELP_INC_000299,PK attack,PK攻击
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,罪恶值和惩罚
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,根据罪恶值对用户进行分类
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,PK场和恢复罪恶值
CLIENT_TREEHELP_INC_000303,Regional setting,区域设置
CLIENT_TREEHELP_INC_000304,Safety Zone,安全区
CLIENT_TREEHELP_INC_000305,Penalty PK zone,惩罚PK区
CLIENT_TREEHELP_INC_000306,Free PK zone,自由PK区域
CLIENT_TREEHELP_INC_000307,Classfying Server,分类服务器
CLIENT_TREEHELP_INC_000308,Normal Server,普通服务器
CLIENT_TREEHELP_INC_000309,PVP server,PVP服
CLIENT_TREEHELP_INC_000313,Weapon store,武器店
CLIENT_TREEHELP_INC_000318,Public office,城镇服务处
CLIENT_TREEHELP_INC_000320,Beauty Shop,美容沙龙
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Please select a subcategory to view available information.
