Key,English,Simplified_Chinese
PROPTROUPESKILL_TXT_000000,Call,召集团员
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.,告诉团员们团长所在位置的技能。[消耗点数：0]
PROPTROUPESKILL_TXT_000002,Blitz,集中表演
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.,命令团员攻击指定目标的技能。[消耗点数：0]
PROPTROUPESKILL_TXT_000004,Retreat,演出谢幕
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.,通知团员撤退。[消耗点数：0]
PROPTROUPESKILL_TXT_000008,Precision,全场喝彩
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.,根据周围剧团成员数量增加团长下一次攻击的暴击率（0.5% x 团员数量）。
PROPTROUPESKILL_TXT_000010,Linked Attack,合作攻击
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.,每位周围的剧团成员，会为团长提供5%的伤害加成。[消耗点数：3]
PROPTROUPESKILL_TXT_000012,Lucky Drop,幕间抽奖
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.,增加怪物身上掉落特殊装备的概率。 [消耗点数：5]
PROPTROUPESKILL_TXT_000014,Resting,幕间休息
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster.",不在战斗状态的团员在团长周围坐下休息则恢复速度是平时的1.5倍。如果团长的职业是圣职者，恢复速度是平时的1.8倍.[消耗点数：2]
PROPTROUPESKILL_TXT_000016,Gift Box,幸运观众
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.,从怪物身上掉落物品增加2倍。[消耗点数：8]
PROPTROUPESKILL_TXT_000018,Global Attack,羁绊
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.,周围每增加1位剧团成员，会为全体成员提供2.5%的伤害加成。如果同时使用了合作技能，则对剧团长无效。
