Key,English,Simplified_Chinese
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,纯净水
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White Reagent,White Reagent
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue Reagent,Blue Reagent
PRODUCTION_RECIPE_NAME_REDREAGENT,Red Reagent,Red Reagent
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green Reagent,Green Reagent
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow Reagent,Yellow Reagent
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold Reagent,Gold Reagent
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,活力饮料100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,活力饮料200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,魔力多 (小)
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,灰色药丸
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,魔力多 (中)
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,Pine Oil
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,活力饮料300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,活力饮料400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,活力饮料500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,活力饮料600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,活力饮料700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,活力饮料800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,小黄药丸
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,水蓝药丸
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,红色药丸
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,魔力多 (大)
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,强化魔力多 (小)
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,强化魔力多 (中)
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,强化魔力多 (大)
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,特调魔力多 (小)
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,特调魔力多 (中)
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,活力饮料900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,特调魔力多 (大)
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,终极魔力多
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,金闪闪药丸
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,闪耀金丸
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,坚皮药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,锐力药剂
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,猛虎药剂
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,迅兔药剂
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,灵狐药剂
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,雄狮药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,精准药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,闪避药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,迅捷药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,清醒药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,狂暴药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,流血药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,疾行药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,快速生命恢复药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,快速魔力恢复药剂
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,快速活力恢复药剂
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,力量恢复药剂
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,活力强效药剂
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,净制无名鱼
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,净制无名鱼2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,净制虾仁
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,净制虾仁2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,净制鳕鱼
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,净制鳕鱼2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,净制鲱鱼
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,净制鲱鱼2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,净制鱿鱼
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,净制鱿鱼2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,净制鲭鱼
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,净制鲭鱼2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,净制鳗鱼
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,净制鳗鱼2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,净制三文鱼
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,净制三文鱼2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,净制金枪鱼
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,净制金枪鱼2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,芝士
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,番茄酱
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,面包面团
PRODUCTION_RECIPE_NAME_BUTTER,Butter,黄油
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,蛋黄酱
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,米饭
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,鱼露
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,棒棒糖
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,肉串
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,饼干
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,鱼丸
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pancake,海鲜煎饼
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,海鲜汤
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,面包
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,三明治
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,热狗
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,海鲜炖汤
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,馅饼
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,海鲜
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,烤鲭鱼
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,鸡腿
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,炸鱿鱼
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,星星糖
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,鱼排
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,肉沙拉
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,海鲜披萨
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,炸虾
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,虾仁炒饭
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,浓汤
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,风味咖喱
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,金枪鱼寿司
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,红鱼丸
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,蓝鱼丸
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,绿鱼丸
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,紫鱼丸
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,彩虹鱼丸
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,橙鱼丸
