Key,English,Traditional_Chinese
ACHIEVEMENT_KILL_AIBATT_NAME,Aibatt,獨眼蝙蝠
ACHIEVEMENT_KILL_MUSHPANG_NAME,Mushpang,咚咚菇
ACHIEVEMENT_KILL_BURUDENG_NAME,Burudeng,藍甲蟲
ACHIEVEMENT_KILL_PUKEPUKE_NAME,Pukepuke,噗卡噗卡
ACHIEVEMENT_KILL_PEAKYTURTLE_NAME,Peakyturtle,戰車蟲
ACHIEVEMENT_KILL_DEMIAN_NAME,Demian,丹丹
ACHIEVEMENT_KILL_DORIDOMA_NAME,Doridoma,多魯
ACHIEVEMENT_KILL_LAWOLF_NAME,Lawolf,布魯狼
ACHIEVEMENT_KILL_FEFERN_NAME,Fefern,蜥蜴草
ACHIEVEMENT_KILL_NYANGNYANG_NAME,Nyangnyang,喵娘
ACHIEVEMENT_KILL_BANG_NAME,Bang,崩崩
ACHIEVEMENT_KILL_MOTHBEE_NAME,Mothbee,魔斯蜂
ACHIEVEMENT_KILL_WAGSAAC_NAME,Wagsaac,拳頭花
ACHIEVEMENT_KILL_FLYBAT_NAME,Flybat,巨眼蝙蝠
ACHIEVEMENT_KILL_MIA_NAME,Mia,米兒
ACHIEVEMENT_KILL_MRPUMPKIN_NAME,Mr. Pumpkin,南瓜先生
ACHIEVEMENT_KILL_REDMANTIS_NAME,Redmantis,赤螳螂
ACHIEVEMENT_KILL_ZENDROS_NAME,Zendros,曾德羅斯
ACHIEVEMENT_KILL_JACKTHEHAMMER_NAME,Jack the Hammer,傑克槌
ACHIEVEMENT_KILL_GIGGLEBOX_NAME,Giggle Box,整人箱
ACHIEVEMENT_KILL_ROCKMUSCLE_NAME,Rock Muscle,牛唄唄
ACHIEVEMENT_KILL_BUCROW_NAME,Bucrow,巴斯克
ACHIEVEMENT_KILL_NEPARUBA_NAME,Neparuba,尼帕魯巴
ACHIEVEMENT_KILL_HOBO_NAME,Hobo,獨刀
ACHIEVEMENT_KILL_DUMBBULL_NAME,Dumbbull,哞哞
ACHIEVEMENT_KILL_TOTEMIA_NAME,Totemia,疊疊樂
ACHIEVEMENT_KILL_CARDPUPPET_NAME,Cardpuppet,發條娃娃
ACHIEVEMENT_KILL_FLBYRIGEN_NAME,Flybrigen,骷髏魔翼
ACHIEVEMENT_KILL_TOMBSTONEBEARER_NAME,Tombstone Bearer,苦命超人
ACHIEVEMENT_KILL_SCOPICON_NAME,Scorpicon,血紅蠍
ACHIEVEMENT_KILL_BASQUE_NAME,Basque,巴斯克砲兵
ACHIEVEMENT_KILL_PRANKSTER_NAME,Prankster,小丑術士
ACHIEVEMENT_KILL_ROCKEPELLER_NAME,Rockepeller,飛行波尼
ACHIEVEMENT_KILL_WHEELEM_NAME,Wheelem,單輪機器人
ACHIEVEMENT_KILL_LEYENA_NAME,Leyena,血狼
ACHIEVEMENT_KILL_TRANGFOMA_NAME,Trangfoma,電電仔
ACHIEVEMENT_KILL_STEAMWALKER_NAME,Steam Walker,蒸氣機械人
ACHIEVEMENT_KILL_STEELKNIGHT_NAME,Steel Knight,鋼鐵騎士
ACHIEVEMENT_KILL_ZOMBIGER_NAME,Zombiger,腐屍礦工
ACHIEVEMENT_KILL_NUTTYWHEEL_NAME,Nuttywheel,刀牙機械
ACHIEVEMENT_KILL_NUCTUVEHICLE_NAME,Nuctuvehicle,礦車獸
ACHIEVEMENT_KILL_DRILLER_NAME,Driller,暴鑽機械
ACHIEVEMENT_KILL_RISEM_NAME,Risem,石妖
ACHIEVEMENT_KILL_GRRR_NAME,Grrr,咕噥
ACHIEVEMENT_KILL_VOLT_NAME,Volt,機械戰車
ACHIEVEMENT_KILL_ELDERGUARD_NAME,Elderguard,戰士機械
ACHIEVEMENT_KILL_DUMP_NAME,Dump,牛頭火燄車
ACHIEVEMENT_KILL_GARBAGEPIDER_NAME,Garbagespider,清道夫機械
ACHIEVEMENT_KILL_ZENMA_NAME,Zenma,刃馬
ACHIEVEMENT_KILL_CRANEMACHINERY_NAME,Crane Machinery,工程機械
ACHIEVEMENT_KILL_NAUTREPY_NAME,Nautrepy,帥帥鼠
ACHIEVEMENT_KILL_SYLIACA_NAME,Syliaca,獅頭魚
ACHIEVEMENT_KILL_GREEMONG_NAME,Greemong,史萊膿
ACHIEVEMENT_KILL_BOO_NAME,Boo,兩棲毒花
ACHIEVEMENT_KILL_CARRIERBOMB_NAME,Carrierbomb,轟炸兵
ACHIEVEMENT_KILL_LONGWANG_NAME,Longwing,白色翅膀瑪庫斯
ACHIEVEMENT_KILL_HOPPRE_NAME,Hoppre,假面蝗蟲
ACHIEVEMENT_KILL_MUSHPOIE_NAME,Mushpoie,魔人菇菇
ACHIEVEMENT_KILL_IREN_NAME,Iren,刀尾蚊
ACHIEVEMENT_KILL_WATANGKA_NAME,Watangka,哇噹卡
ACHIEVEMENT_KILL_FAFNIR_NAME,Fafnir,法浮勒
ACHIEVEMENT_KILL_ANTIQUERY_NAME,Antiquery,樹精
ACHIEVEMENT_KILL_LUIA_NAME,Luia,赤燄鳳凰
ACHIEVEMENT_KILL_GONGURY_NAME,Gongury,劍尾龜
ACHIEVEMENT_KILL_SHUHAMMA_NAME,Shuhamma,機械戰象
ACHIEVEMENT_KILL_KERN_NAME,Kern,炎王
ACHIEVEMENT_KILL_GORRUDA_NAME,Gorruda,格魯達
ACHIEVEMENT_KILL_GLAPHAN_NAME,Glaphan,皮皮
ACHIEVEMENT_KILL_KIMERADON_NAME,Chimeradon,變種蝙蝠
ACHIEVEMENT_KILL_BEARNUCKY_NAME,Bearnerky,獨眼野熊
ACHIEVEMENT_KILL_MUFFRIN_NAME,Muffrin,廚師麻普
ACHIEVEMENT_KILL_POPCRANK_NAME,Popcrank,驚嚇小丑盒
ACHIEVEMENT_KILL_CLOCKWORKS_NAME,Clockworks,時空毀滅者
ACHIEVEMENT_KILL_METEONYKER_NAME,Meteonyker,地炎飛龍
ACHIEVEMENT_KILL_MEDUMET_NAME,Medumet,美杜梅
ACHIEVEMENT_KILL_YETTI_NAME,Yetti,雪人
ACHIEVEMENT_KILL_AUGU_NAME,Augu,阿武骨
ACHIEVEMENT_KILL_GHOSTKING_NAME,Ghost King,鬼王
ACHIEVEMENT_KILL_MAMMOTH_NAME,Mammoth,巨獸
ACHIEVEMENT_KILL_ATROX_NAME,Atrox,阿托克斯
ACHIEVEMENT_KILL_TIGAR_NAME,Tigar,老虎
ACHIEVEMENT_KILL_MERAL_NAME,Meral,梅拉爾
ACHIEVEMENT_KILL_KINGSTER_NAME,Kingster,金斯特
ACHIEVEMENT_KILL_CREPER_NAME,Creper,克雷普
ACHIEVEMENT_KILL_NAGA_NAME,Naga,那迦
ACHIEVEMENT_KILL_DORIAN_NAME,Dorian,多利安
ACHIEVEMENT_KILL_OKEAN_NAME,Okean,歐肯安
ACHIEVEMENT_KILL_KRAKEN_NAME,Kraken,克拉肯
