Key,English,Traditional_Chinese
CLIENT_TREEHELP_INC_000003,Basic Operations,基本操作
CLIENT_TREEHELP_INC_000008,How do I fly?,飛行
CLIENT_TREEHELP_INC_000009,Ariel Combat,飛行戰鬥
CLIENT_TREEHELP_INC_000013,Magic Attack,魔法攻擊
CLIENT_TREEHELP_INC_000045,Task bar,熱鍵欄
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,邀請劇團團員
CLIENT_TREEHELP_INC_000073,Call,集合
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,公會
CLIENT_TREEHELP_INC_000093,Vagrant,見習生
CLIENT_TREEHELP_INC_000097,First Job Transfer,一轉職業
CLIENT_TREEHELP_INC_000103,Bloody Strike,血之讚頌
CLIENT_TREEHELP_INC_000108,Sneaker,勇者之網
CLIENT_TREEHELP_INC_000109,Empower Weapon,元素之光
CLIENT_TREEHELP_INC_000119,Slow Step,加速術
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,溜刃研習
CLIENT_TREEHELP_INC_000121,Snatch,緩速術
CLIENT_TREEHELP_INC_000124,Counterattack,箭雨
CLIENT_TREEHELP_INC_000128,Auto Shot,逆襲
CLIENT_TREEHELP_INC_000129,Aimed Shot,致命之舞
CLIENT_TREEHELP_INC_000139,Cat's Reflex,靈敏術
CLIENT_TREEHELP_INC_000140,Cannon Ball,敏捷術
CLIENT_TREEHELP_INC_000166,Blinkpool,風之傳送
CLIENT_TREEHELP_INC_000167,Second Job Transfer,2次轉職
CLIENT_TREEHELP_INC_000172,Power Stomp,大地共鳴
CLIENT_TREEHELP_INC_000187,Critical Swing,爆擊之舞
CLIENT_TREEHELP_INC_000194,Vital stab,投魂一擊
CLIENT_TREEHELP_INC_000195,Ranger,浪人
CLIENT_TREEHELP_INC_000204,RingMaster,守護者
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,波動拳
CLIENT_TREEHELP_INC_000222,Elementor,研術者
CLIENT_TREEHELP_INC_000241,Blizzard,雪山崩塌
CLIENT_TREEHELP_INC_000255,Flying level,飛行等級
CLIENT_TREEHELP_INC_000256,Flying experience,飛行經驗值
CLIENT_TREEHELP_INC_000257,Travel experience point,旅行經驗值
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP(共用經驗值)
CLIENT_TREEHELP_INC_000267,GP (growth point),GP(成長點數)
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,終極武器精煉
CLIENT_TREEHELP_INC_000289,Mineral,天然礦物
CLIENT_TREEHELP_INC_000290,Erons,艾磷斯
CLIENT_TREEHELP_INC_000291,Krasec,石花
CLIENT_TREEHELP_INC_000292,Guru,鈷礫
CLIENT_TREEHELP_INC_000293,Collector,採集器
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,PK攻擊
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,惡名點數與懲罰
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,根據惡名點數對玩家進行分類
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,PK玩家的區域與惡名點數下降
CLIENT_TREEHELP_INC_000303,Regional setting,區域設定
CLIENT_TREEHELP_INC_000304,Safety Zone,安全區域
CLIENT_TREEHELP_INC_000305,Penalty PK zone,懲戒PK區域
CLIENT_TREEHELP_INC_000306,Free PK zone,自由戰鬥區域
CLIENT_TREEHELP_INC_000307,Classfying Server,伺服器分流
CLIENT_TREEHELP_INC_000308,Normal Server,一般伺服器
CLIENT_TREEHELP_INC_000309,PVP server,PvP伺服器
CLIENT_TREEHELP_INC_000313,Weapon store,武器商店
CLIENT_TREEHELP_INC_000318,Public office,城鎮服務中心
CLIENT_TREEHELP_INC_000320,Beauty Shop,美容商店
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Please select a subcategory to view available information.
