Key,English,Traditional_Chinese
ETC_INC_000000,Vagrant,見習生
ETC_INC_000001,Mercenary,勇者
ETC_INC_000002,Acrobat,雜技師
ETC_INC_000003,Assist,神職者
ETC_INC_000004,Magician,魔法使
ETC_INC_000005,Puppeteer,咒術師
ETC_INC_000006,Knight,騎士
ETC_INC_000007,Blade,暗殺者
ETC_INC_000008,Jester,操偶師
ETC_INC_000009,Ranger,浪人
ETC_INC_000010,Ringmaster,守護者
ETC_INC_000011,Billposter,爆咒師
ETC_INC_000012,Psykeeper,念力師
ETC_INC_000013,Elementor,研術者
ETC_INC_000014,Gatekeeper,盾牌商店
ETC_INC_000015,Doppler,傳送點
ETC_INC_SPECIALIST_000016,Templar,聖殿騎士
ETC_INC_SPECIALIST_000017,Slayer,狂戰士
ETC_INC_SPECIALIST_000018,Harlequin,幻影刺客
ETC_INC_SPECIALIST_000019,Crackshooter,神射手
ETC_INC_SPECIALIST_000020,Seraph,聖諭神使
ETC_INC_SPECIALIST_000021,Forcemaster,格鬥宗師
ETC_INC_SPECIALIST_000022,Mentalist,心靈術士
ETC_INC_SPECIALIST_000023,Arcanist,奧術師
ETC_INC_SPECIALIST_000024,Summoner,召喚師
ETC_INC_SPECIALIST_000025,Trapmaster,陷阱大師
