Key,English,Traditional_Chinese
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,世界地圖
PROPMAP_TXT_000002,Region,區域地圖
PROPMAP_TXT_000003,Town,村莊地圖
PROPMAP_TXT_000004,Madrigal,瑪德利賈
PROPMAP_TXT_000005,"Darkon 1, 2","得肯第1,2地區"
PROPMAP_TXT_000006,Darkon 3,得肯第3地區
PROPMAP_TXT_000007,Garden of Rhisis,黎席斯庭院
PROPMAP_TXT_000008,Saint Morning,聖音特
PROPMAP_TXT_000009,Flaris,布拉里斯
PROPMAP_TXT_000012,Flarine,布拉里斯
PROPMAP_TXT_000013,Saint City,聖音特市
PROPMAP_TXT_000014,Darken,得肯
PROPMAP_TXT_000242,Dungeon,地城
PROPMAP_TXT_000263,Mars Dungeon,邁爾斯密殿
PROPMAP_TXT_000265,Dekane Mine,塔凱黎斯礦山
PROPMAP_TXT_000266,Iblis Temple,伊普里斯寺院
PROPMAP_TXT_000274,Forsaken Tower 1F,被遺忘之塔 1樓 
PROPMAP_TXT_000275,Forsaken Tower 2F,被遺忘之塔 2樓 
PROPMAP_TXT_000276,Forsaken Tower 3F,被遺忘之塔 3樓 
PROPMAP_TXT_000277,Forsaken Tower 4F,被遺忘之塔 4樓 
PROPMAP_TXT_000278,Forsaken Tower 5F,被遺忘之塔 5樓 
PROPMAP_TXT_000279,Forsaken Tower 6F,被遺棄的塔樓 6 層
PROPMAP_TXT_000280,Forsaken Tower 7F,被遺棄的塔樓 7 層
PROPMAP_TXT_100000,Kebaras,卡巴拉斯
PROPMAP_TXT_100001,North-Fl,布拉里斯北部
PROPMAP_TXT_100002,Cen Flarine,布拉里斯中部
PROPMAP_TXT_100003,East-Fla,布拉里斯東部
PROPMAP_TXT_100004,Darkon,得肯
PROPMAP_TXT_100005,The North of Leren Mountains,萊樂安山脈北部
PROPMAP_TXT_100006,The River of Weeping,哭泣之河
PROPMAP_TXT_100007,Saint Hall,聖音特禮堂
PROPMAP_TXT_100008,Pumpkin Town,南瓜鎮
PROPMAP_TXT_100009,Plateau of Silence,沉默高地
PROPMAP_TXT_100010,The North of Hillid Mountains,矽立得山脈北部
PROPMAP_TXT_100011,The Middle of Hillid Mountains,矽立得山脈中部
PROPMAP_TXT_100012,The South of Hillid Mountains,矽立得山脈南部
PROPMAP_TXT_100013,Guardian's Room,守護者之房
PROPMAP_TXT_100014,Heret,赫雷特
PROPMAP_TXT_100015,Cendil,珊媞
PROPMAP_TXT_100016,Aniceknight,艾音奈特
PROPMAP_TXT_100017,Arians,亞利安斯
PROPMAP_TXT_100018,Deadwallderness,丹德瓦內斯
PROPMAP_TXT_100019,Brekin,布里肯
PROPMAP_TXT_100020,Guardiane,迦樂迪安
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),得肯第2區(艾恩布爾洞穴)
PROPMAP_TXT_100022,Clockworks' Cage,時空毀滅者的牢籠
PROPMAP_TXT_100023,Erons Factories,艾磷斯工廠
PROPMAP_TXT_100024,Gouthan Mountains,槁瑜潭山脈
PROPMAP_TXT_100025,Darkon 1 (KhipRa),得肯第1區(機械荒原)
PROPMAP_TXT_100026,Unknown,未知
PROPMAP_TXT_100029,Armory,武器商店
PROPMAP_TXT_100030,Center for Guild Combat,公會戰場中央
PROPMAP_TXT_100031,Arena Manager,自由競技場管理員
PROPMAP_TXT_100032,Azria,阿雷那
PROPMAP_TXT_100033,Guild Siege,公會戰
PROPMAP_TXT_100034,Quiz,測驗
PROPMAP_TXT_100035,Village of Kan,坎恩村
PROPMAP_TXT_100036,Area,區域
PROPMAP_TXT_100037,Saint Morning Station,聖音特航空站
PROPMAP_TXT_100038,Garden of Rhisis II,黎席斯庭院 II
PROPMAP_TXT_100039,Cave of Envy,艾恩布爾洞穴
PROPMAP_TXT_100040,Darkon 2,得肯2
PROPMAP_TXT_100041,Volkane,熔岩祕境
PROPMAP_TXT_100042,Abandoned Erons Factory,廢棄的艾磷胚斯
PROPMAP_TXT_100043,Frozen Forest,冰凍森林
PROPMAP_TXT_100044,Forgotten Bridge,被遺忘之橋
PROPMAP_TXT_100045,Azria Village,阿茲里亞村
PROPMAP_TXT_100046,Frozen Lakes,冰凍湖泊
