Key,English,Traditional_Chinese
PROPMOVER_TXT_000002,Male,男生
PROPMOVER_TXT_000004,Female,女生
PROPMOVER_TXT_000006,Small Aibatt,獨眼蝙蝠嘍囉 
PROPMOVER_TXT_000008,Aibatt,獨眼蝙蝠 
PROPMOVER_TXT_000010,Captain Aibatt,獨眼蝙蝠頭目 
PROPMOVER_TXT_000012,Giant Aibatt,巨眼蝙蝠 
PROPMOVER_TXT_000014,Small Mushpang,新鮮的咚咚菇
PROPMOVER_TXT_000016,Mushpang,半熟的咚咚菇
PROPMOVER_TXT_000018,Captain Mushpang,全熟的咚咚菇
PROPMOVER_TXT_000020,Giant Mushpang,變種咚咚菇
PROPMOVER_TXT_000022,Small Burudeng,小藍甲蟲
PROPMOVER_TXT_000024,Burudeng,藍甲蟲
PROPMOVER_TXT_000026,Captain Burudeng,特種藍甲蟲
PROPMOVER_TXT_000028,Giant Burudeng,終極藍甲蟲
PROPMOVER_TXT_000030,Small Pukepuke,噗卡噗卡嘍囉
PROPMOVER_TXT_000032,Pukepuke,噗卡噗卡
PROPMOVER_TXT_000034,Captain Pukepuke,噗卡噗卡頭目
PROPMOVER_TXT_000036,Giant Pukepuke,巨大噗卡噗卡
PROPMOVER_TXT_000038,Small Peakyturtle,尖刺小犰狳
PROPMOVER_TXT_000040,Peakyturtle,尖刺犰狳
PROPMOVER_TXT_000042,Captain Peakyturtle,尖刺犰狳頭目
PROPMOVER_TXT_000044,Giant Peakyturtle,戰車犰狳
PROPMOVER_TXT_000046,Urchin Demian,頑童丹丹
PROPMOVER_TXT_000048,Demian,丹丹
PROPMOVER_TXT_000050,Bad Demian,惡童丹丹
PROPMOVER_TXT_000052,Giant Demian,孩子王丹丹
PROPMOVER_TXT_000054,Small Doridoma,多魯嘍囉
PROPMOVER_TXT_000056,Doridoma,多魯
PROPMOVER_TXT_000058,Captain Doridoma,多魯頭目
PROPMOVER_TXT_000060,Giant Doridoma,好大的多魯
PROPMOVER_TXT_000062,Young Lawolf,布魯狼嘍囉
PROPMOVER_TXT_000064,Lawolf,布魯狼
PROPMOVER_TXT_000066,Grownup Lawolf,布魯狼頭目
PROPMOVER_TXT_000068,Giant Lawolf,巨大布魯狼
PROPMOVER_TXT_000070,1st Class Fefern,小蜥蜴草
PROPMOVER_TXT_000072,Fefern,蜥蜴草
PROPMOVER_TXT_000074,2nd Class Fefern,毒蜥蜴草
PROPMOVER_TXT_000076,Giant Fefern,變種蜥蜴草
PROPMOVER_TXT_000078,Cute Nyangnyang,可愛的喵娘
PROPMOVER_TXT_000080,Nyangnyang,裝可愛的喵娘
PROPMOVER_TXT_000082,Creep Nyangnyang,嗆聲的喵娘
PROPMOVER_TXT_000084,Giant Nyangnyang,喵娘女王
PROPMOVER_TXT_000086,Bang,崩崩嘍囉
PROPMOVER_TXT_000088,Captain Bang,崩崩
PROPMOVER_TXT_000090,Boss Bang,崩崩頭目
PROPMOVER_TXT_000092,Giant Bang,巨型崩崩
PROPMOVER_TXT_000094,Small Wagsaac,小拳頭花
PROPMOVER_TXT_000096,Wagsaac,拳頭花
PROPMOVER_TXT_000098,Captain Wagsaac,毒拳頭花
PROPMOVER_TXT_000100,Giant Wagsaac,變種拳頭花
PROPMOVER_TXT_000102,Small Mia,無辜的米兒
PROPMOVER_TXT_000104,Mia,米兒
PROPMOVER_TXT_000106,Captain Mia,米兒姊姊
PROPMOVER_TXT_000108,Giant Mia,叛逆米兒
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,傻笑南瓜先生
PROPMOVER_TXT_000112,Mr. Pumpkin,南瓜先生
