Key,English,Traditional_Chinese
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,純水
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White Reagent,白色試劑
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue Reagent,藍色試劑
PRODUCTION_RECIPE_NAME_REDREAGENT,Red Reagent,紅色試劑
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green Reagent,綠色試劑
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow Reagent,黃色試劑
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold Reagent,金色試劑
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,精力多 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,精力多 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,魔力多 (小)
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,灰色藥丸
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,魔力多 (中)
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,松油
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,精力多 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,精力多 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,精力多 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,精力多 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,精力多 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,精力多 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,小黃藥丸
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,水藍藥丸
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,熱血藥丸
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,魔力多 (大)
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,強化魔力多 (小)
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,強化魔力多 (中)
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,強化魔力多 (大)
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,特調魔力多 (小)
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,特調魔力多 (中)
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,精力多 900
