Key,English,Traditional_Chinese
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,重擊
PROPSKILL_TXT_000001,"A powerful, downward strike.",見習生前段技能，將力量集中後，瞬間爆發出威力的單手武器技能。
PROPSKILL_TXT_000002,Flurry,連擊
PROPSKILL_TXT_000003,A rapid stabbing attack.,見習生中段技能，快速連續突刺敵人的單手武器技能。
PROPSKILL_TXT_000004,Over Cutter,爆氣
PROPSKILL_TXT_000005,A powerful upward finishing move.,見習生後段技能，使用聚集的力量將敵人擊飛，並讓敵人受到強大傷害的單手武器技能。
PROPSKILL_TXT_000006,Slash,月牙斬
PROPSKILL_TXT_000007,Strikes the enemy twice in rapid succession.,將身體彎曲並集氣後，利用反彈力連續揮出二連擊。
PROPSKILL_TXT_000008,Keenwheel,旋風斬
PROPSKILL_TXT_000009,A continuous spinning attack.,急速旋轉身體並在空中施展迴旋斬來攻擊目標。
PROPSKILL_TXT_000010,Blindside,爆炎劍氣
PROPSKILL_TXT_000011,A spinning finishing move that may stun the enemy.,集中攻擊敵人的弱點並給予強力一擊。
PROPSKILL_TXT_000012,Protection,防禦術
PROPSKILL_TXT_000013,Draws out the wielded shield's power to increase defense against physical attacks and significantly increase Ranged Block.,使用盾來提升自己的防禦力。
PROPSKILL_TXT_000014,Pan Barrier,霸體
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,大幅增加遠距離格擋。
PROPSKILL_TXT_000016,Blazing Sword,狂暴刃
PROPSKILL_TXT_000017,Increases accuracy and enhances the power of the wielded sword.,增加使用劍時的命中率和攻擊力。
PROPSKILL_TXT_000018,Smite Axe,狂戰斧
PROPSKILL_TXT_000019,Increases accuracy and enhances the power of the wielded axe.,增加使用斧時的命中率和攻擊力。
PROPSKILL_TXT_000020,Empower Weapon,元素之光
PROPSKILL_TXT_000021,Enhances the weapon's elemental power.,增加武器的元素等級。
PROPSKILL_TXT_000022,Bloody Strike,血之讚頌
PROPSKILL_TXT_000024,Sword Mastery,劍之研習
PROPSKILL_TXT_000025,Enhances the power of the wielded sword.,增加使用劍時的攻擊力。
PROPSKILL_TXT_000026,Axe Mastery,斧之研習
PROPSKILL_TXT_000027,Enhances the power of the wielded axe.,增加使用斧時的攻擊力。
PROPSKILL_TXT_000028,Special Hit,衝刺
PROPSKILL_TXT_000029,A single powerful strike that hits all enemies around you.,集氣後，快速往前衝刺攻擊前方所有敵人。
PROPSKILL_TXT_000030,Guillotine,靈劍氣
PROPSKILL_TXT_000031,A powerful ranged attack.,集氣後，發射劍氣。
PROPSKILL_TXT_000032,Sneaker,勇者之網
PROPSKILL_TXT_000033,"Traps the enemy in a net, immobilizing them.",集勇者之氣化為一個堅固的網子套住敵人，使敵人無法移動。
PROPSKILL_TXT_000034,Reflex Hit,反擊
PROPSKILL_TXT_000035,Absorbs an incoming attack and strikes an enemy with the absorbed damage.,將敵人給予的傷害還擊回去。
PROPSKILL_TXT_000036,Guard,護衛
PROPSKILL_TXT_000037,Reduces all incoming damage from enemies at the cost of attack power.,降低攻擊力來提高防禦力，需要裝備武器。
PROPSKILL_TXT_000038,Pain Reflection,血債血償
PROPSKILL_TXT_000039,Reflects a portion of the damage received back at the enemy.,將所受到的傷害，還擊回去。
PROPSKILL_TXT_000040,Rage,怒氣
PROPSKILL_TXT_000041,Increases striking power but makes you more vulnerable to all incoming attacks.,提升攻擊力，但所受傷害提升。
PROPSKILL_TXT_000042,Power Swing,橫風斬
PROPSKILL_TXT_000043,Swings the weapon to strike surrounding enemies and push them back. Requires a two-handed weapon.,用武器進行平掃攻擊，並震退敵人，需要雙手武器。
PROPSKILL_TXT_000044,Earth Divider,大地爆碎劍
PROPSKILL_TXT_000045,A powerful downward strike that may reduce HP Restoration on the target. Requires a two-handed weapon.,用強大的力量將劍重重的劈在敵人的身上，使敵人受到重大的傷害，並減少敵人的恢復效果。
PROPSKILL_TXT_000046,Charge,死風狂擊
PROPSKILL_TXT_000047,A powerful upward strike that stuns the enemy. Requires a two-handed weapon.,強有力向上的打擊擊暈敵人，需要雙手武器。
PROPSKILL_TXT_000048,Pain Dealer,致命一擊
PROPSKILL_TXT_000049,A powerful downward strike that lowers the defense of the target. Requires a two-handed weapon.,讓敵人受到重大傷害並降低防禦力，需要雙手武器。
PROPSKILL_TXT_000050,Power Stomp,大地共鳴
PROPSKILL_TXT_000051,"Pounds the ground, hitting surrounding enemies with a chance to stun them. Requires a two-handed weapon.",使用武器大力的敲擊地面，攻擊周圍所有敵人，有機率將敵人暈眩，需要雙手武器。
PROPSKILL_TXT_000052,Cross Strike,稻妻二刀斬
PROPSKILL_TXT_000053,A powerful dual-weapon strike that knocks down the enemy.,交替著武器，並製造出強大的傷害。
PROPSKILL_TXT_000054,Armor Penetrate,爆碎點刺
PROPSKILL_TXT_000055,Strikes the enemy and lowers their block rate.,力量足以摧毀敵人盔甲，使敵人的防具受到損壞，並降低格擋。
PROPSKILL_TXT_000056,Silent Strike,光速突刺
PROPSKILL_TXT_000057,"Pounces on the enemy from afar, stunning them. Requires two weapons.",用光速貫通敵人身體，暈眩目標，需要持有兩把武器。
PROPSKILL_TXT_000058,Blade Dance,暗殺者之舞
PROPSKILL_TXT_000059,Rapidly strikes surrounding enemies twice with both weapons. Requires two weapons.,將雙刀展開並對周圍的敵人進行攻擊，需要持有兩把武器。
PROPSKILL_TXT_000060,Spring Attack,千光刃
PROPSKILL_TXT_000061,"Strikes the enemy multiple times, with each hit having a chance to deal double damage. Requires two weapons.",進行快速的連發攻擊，每次命都都有機會造成雙被傷害，需要持有兩把武器。
PROPSKILL_TXT_000062,Hawk Attack,鬼斧斬
PROPSKILL_TXT_000063,A powerful downward strike that lowers the accuracy of the target. Requires two weapons.,面向敵人跳起來後，使用武器砍向敵人且降低目標命中，需要持有兩把武器。
PROPSKILL_TXT_000064,Sonic Blade,音速暗殺者
PROPSKILL_TXT_000065,A powerful slashing attack that hits all surrounding enemies. Requires two weapons.,劈向周圍的敵人，需要持有兩把武器。
PROPSKILL_TXT_000066,Berserk,狂暴化
PROPSKILL_TXT_000067,Increases Attack Speed and striking power at the cost of reduced skill damage.,提高攻擊速度與攻擊力，但降低技能傷害。
PROPSKILL_TXT_000068,Heal,治癒術
PROPSKILL_TXT_000069,Recovers the target's HP.,立即恢復目標HP。
PROPSKILL_TXT_000070,Temping Hole,神拳術
PROPSKILL_TXT_000071,A powerful straight punch.,將所有精神集中在力量，用力揮出去的拳套技能。
PROPSKILL_TXT_000072,Resurrection,復活術
PROPSKILL_TXT_000073,Resurrects a dead player.,將死亡的對象復活。
PROPSKILL_TXT_000074,Patience,生命的祝福
PROPSKILL_TXT_000075,Increases the target's maximum HP.,在技能的有效時限內提高對方的HP上限。
PROPSKILL_TXT_000076,Prevention,千鈞一髮
PROPSKILL_TXT_000077,Automatically recovers your HP when it falls below a certain threshold.,受到面臨死亡的攻擊時，立刻恢復所損的HP以避免死亡。
PROPSKILL_TXT_000078,Heap Up,強化術
PROPSKILL_TXT_000079,Increases the target's STA.,增加目標的體力。
PROPSKILL_TXT_000080,Cannon Ball,敏捷術
PROPSKILL_TXT_000081,Increases the target's DEX.,增加目標的敏捷。
PROPSKILL_TXT_000082,Circle Healing,集體治癒術
PROPSKILL_TXT_000083,Heals nearby party members.,恢復施展者周遭限定範圍內的團員HP。
PROPSKILL_TXT_000084,Mental Sign,心靈點滴
PROPSKILL_TXT_000085,Increases the target's INT.,增加目標的智力。
PROPSKILL_TXT_000086,Beef Up,祝福的神力
PROPSKILL_TXT_000087,Increases the target's STR.,增加目標的力量。
PROPSKILL_TXT_000088,Burst Crack,爆震術
PROPSKILL_TXT_000089,"Pounds the ground, damaging enemies around you.",使用拳套用力敲打地面，使自己附近的敵人受到傷害。
PROPSKILL_TXT_000090,Stonehand,石拳重擊
PROPSKILL_TXT_000091,Grants all attacks a chance to stun.,藉助精靈的力量，找出敵人的弱點攻擊並以一定的機率擊暈。
PROPSKILL_TXT_000092,Quick Step,風精之舞
PROPSKILL_TXT_000093,Increases the target's movement speed.,藉助精靈的力量，使移動速度變快。
PROPSKILL_TXT_000094,Cat's Reflex,靈敏術
PROPSKILL_TXT_000095,Increases the target's block rate.,藉助精靈的力量，增加格擋。
PROPSKILL_TXT_000096,Accuracy,第三眼
PROPSKILL_TXT_000097,Increases the target's accuracy.,藉助精靈的力量，增加命中率。
PROPSKILL_TXT_000098,Power Fist,大怒神
PROPSKILL_TXT_000099,Strikes the enemy three times with concentrated power.,藉助精靈的力量瞬間爆發出威力。
PROPSKILL_TXT_000100,Haste,風精的祝福
PROPSKILL_TXT_000101,Increases the target's Attack Speed and Casting Speed.,增加目標的攻擊速度和施法速度。
PROPSKILL_TXT_000102,Heal Rain,祝福的洗禮
PROPSKILL_TXT_000103,Heals nearby party members with powerful restorative energy.,生命之水降臨在每個隊伍成員的身上，使你周遭的隊友回復HP。
PROPSKILL_TXT_000104,Holycross,天神之戒
PROPSKILL_TXT_000105,Causes the next hit against the target to deal double damage.,對敵人施展一次，即可讓敵人下次受到的損害值變成兩倍。
PROPSKILL_TXT_000106,Protect,天神之盾
PROPSKILL_TXT_000107,Increases the target's Defense and Magic Resistance.,增加目標的防禦力和魔法防禦力。
PROPSKILL_TXT_000108,Holyguard,天神之護
PROPSKILL_TXT_000109,Protects the target from incoming critical hits for a limited time.,暫時增加目標的爆擊抗性。
PROPSKILL_TXT_000110,Spirit Fortune,攻擊強化
PROPSKILL_TXT_000112,Gvur Tialla,眾神的守護
PROPSKILL_TXT_000113,Removes debuffs from the target.,移除所有異常狀態。
PROPSKILL_TXT_000114,Geburah Tiphreth,戰士之歌
PROPSKILL_TXT_000115,"Draws upon the inner strength of the user and nearby party members, increasing Attack, Attack Speed and Casting Speed for a limited time.",吟唱戰歌，提升自身周遭的隊友攻擊力、攻擊速度和施法速度。
