Key,English,Vietnamese
CLIENT_HELP_INC_000000,Basic Operations,Thao tác cơ bản
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Phần này sẽ tiếp tục với phần Info-Pang bị bỏ sót. Bạn có thể mong đợi một lời giải thích chuyên sâu hơn về cơ chế trò chơi và một số tính năng độc đáo
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,"Nếu bạn đọc qua phần này và vẫn còn thắc mắc, bạn nên truy cập Trang web chính thức và Diễn đàn. Bạn có thể tìm thấy những thứ này tại $ WEBSITE $"
CLIENT_HELP_INC_000003,Mouse,Chuột
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.","Chuột của bạn sẽ được sử dụng liên tục trong suốt quá trình chơi trò chơi. Chuột trái của bạn sẽ được sử dụng phổ biến nhất để di chuyển, nhắm mục tiêu và chọn các tùy chọn menu. Chuột phải sẽ được sử dụng chủ yếu để điều khiển máy ảnh và truy cập Menu NPC khi một NPC trở thành mục tiêu. Tất cả các tính năng này sẽ được đề cập trong Menu Trợ giúp."
CLIENT_HELP_INC_000005,Movement,Di chuyển
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","Để di chuyển bằng bàn phím, nhấn phím “W” để tiến, phím “A” để sang trái, phím “S” để lùi và phím “D” để sang phải. Bạn cũng có thể sử dụng Click chuột trái để di chuyển."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.","Để nhảy, chỉ cần nhấn phím cách. Bạn có thể nhảy từ vị trí đang đứng hoặc khi đang di chuyển."
CLIENT_HELP_INC_000008,Camera,Máy ảnh
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.","Bạn có thể điều khiển chế độ xem Máy ảnh theo nhiều cách khác nhau. Bạn thậm chí có thể khóa máy ảnh vào đúng vị trí. Để thực hiện việc này, hãy truy cập Start Menu, chọn Option và sau đó chuyển đổi máy ảnh cố định. Điều này sẽ cho phép bạn điều khiển Máy ảnh bằng phím A và D. Điều này ghi đè lên các điều khiển chuyển động. Nếu thiết lập này khiến bạn cảm thấy không thoải mái, bạn có thể chỉ cần giữ chuột phải và di chuyển chuột."
